dv,term,estimate,std.error,statistic,p.value
log_retail_66per,Item_2.01,-0.000125121,8.32E-05,-1.503772763,0.13268972
log_retail_66per,Item_2.02,0.000899828,6.03E-05,14.93281709,1.39E-49
log_retail_66per,Item_2.03,-0.000641727,6.19E-05,-10.37423195,5.15E-25
log_retail_66per,Item_2.04,0.000876309,0.000471945,1.856803902,0.06338543
log_retail_66per,Item_2.05,0.00202875,0.000244569,8.295209803,1.31E-16
log_retail_66per,Item_2.06,-0.000123528,0.000339213,-0.364160284,0.715750472
log_retail_66per,Item_3.01,0.000815393,0.000202224,4.032127584,5.59E-05
log_retail_66per,Item_3.02,0.001236202,0.000134547,9.187906973,5.33E-20
log_retail_66per,Item_3.03,0.000219529,0.000142374,1.541922322,0.123142402
log_retail_66per,Item_4.01,0.00016109,0.000133522,1.206462495,0.227684249
log_retail_66per,Item_4.02,0.00110105,0.000382444,2.878984183,0.00400294
log_retail_66per,Item_5.01,0.001691037,0.00043129,3.920879985,8.92E-05
log_retail_66per,Item_5.02,0.000190487,2.33E-05,8.16993776,3.69E-16
log_retail_66per,Item_5.03,0.000265918,5.70E-05,4.664925991,3.15E-06
log_retail_66per,Item_5.04,-0.000293988,0.00026179,-1.122993835,0.261482656
log_retail_66per,Item_5.05,0.000649793,0.000264816,2.453755523,0.014164033
log_retail_66per,Item_5.06,0.001361887,0.000780954,1.743875989,0.081229206
log_retail_66per,Item_5.07,-1.81E-05,2.05E-05,-0.885670791,0.375828559
log_retail_66per,Item_5.08,-4.92E-06,0.000334955,-0.014699076,0.988272719
log_retail_66per,Item_7.01,0.000395871,4.42E-05,8.956850987,4.32E-19
log_retail_66per,Item_8.01,0.000605091,3.84E-05,15.77775657,4.89E-55
log_retail_66per,Item_9.01,-9.20E-05,3.00E-05,-3.067379261,0.002168558
log_retail_vol_2per,Item_1.01,-0.005086838,0.001410943,-3.605276311,0.000314215
log_retail_vol_2per,Item_1.02,-0.008045978,0.002794594,-2.879122307,0.004001177
log_retail_vol_2per,Item_1.03,-0.012080212,0.029188459,-0.413869463,0.678983702
log_retail_vol_2per,Item_1.04,-0.000667877,0.01880007,-0.035525241,0.971662037
log_retail_vol_2per,Item_1.05,-0.021355144,0.007890285,-2.706511048,0.006817629
log_retail_vol_2per,Item_2.01,0.00181063,0.003320681,0.545258763,0.585594733
log_retail_vol_2per,Item_2.02,-0.002775121,0.001649035,-1.682875972,0.092448318
log_retail_vol_2per,Item_2.03,0.004147784,0.001790605,2.316414704,0.020567346
log_retail_vol_2per,Item_2.04,-0.008945541,0.012056385,-0.741975397,0.458129714
log_retail_vol_2per,Item_2.05,0.000512655,0.004828605,0.106170327,0.915450571
